"","cawa1","cawa2","cawa3","cawa4","SurvDate","SurvTime","Precipitation","Wind","Noise","Elevation"
"PCCow001",4,4,3,4,"2017-06-12","06:30:00",0,0,0,1340
"PCCow002",0,0,0,0,"2017-06-18","09:23:00",0,0,0,1325
"PCCow003",0,1,0,1,"2017-06-23","07:46:00",0,3,2,1258
"PCCow004",0,0,0,0,"2017-06-23","08:30:00",0,3,3,1169
"PCCow005",0,0,0,0,"2017-05-09","10:03:00",0,2,1,1067
"PCCow006",0,0,0,0,"2017-05-09","08:28:00",0,2,1,1208
"PCCow007",4,1,5,4,"2017-06-06","07:22:00",0,0,1,1256
"PCCow008",0,0,0,0,"2017-06-06","07:58:00",0,0,2,1089
"PCCow009",2,2,2,2,"2017-05-09","10:36:00",0,1,2,1031
"PCCow010",0,0,0,0,"2017-05-09","10:52:00",0,1,1,959
"PCCow011",0,0,0,0,"2017-06-06","09:45:00",0,1,0,992
"PCCow012",0,0,0,0,"2017-05-09","09:04:00",0,2,2,1025
"PCCow013",0,1,0,1,"2017-06-06","07:04:00",0,1,1,1351
"PCCow014",0,0,0,0,"2017-06-06","07:50:00",0,0,1,1114
"PCCow015",0,0,0,0,"2017-06-06","08:59:00",0,0,1,1036
"PCCow016",0,0,0,0,"2017-06-06","09:14:00",0,0,1,919
"PCCow017",0,0,0,0,"2017-06-06","10:47:00",0,0,1,893
"PCCow018",0,0,0,0,"2017-06-26","09:17:00",0,0,0,947
"PCCow019",0,0,0,0,"2017-06-26","08:13:00",0,0,1,951
"PCCow020",0,0,0,0,"2017-06-06","07:49:00",0,3,1,1251
"PCCow021",0,0,0,0,"2017-06-06","08:46:00",0,0,2,1127
"PCCow022",0,0,0,0,"2017-05-11","07:36:00",0,0,1,991
"PCCow023",0,0,0,0,"2017-06-06","10:15:00",0,3,0,978
"PCCow024",0,0,0,0,"2017-06-27","06:28:00",0,0,2,921
"PCCow025",0,0,0,0,"2017-06-27","06:19:00",0,0,1,910
"PCCow026",0,0,0,0,"2017-06-26","07:16:00",0,0,2,858
"PCCow027",3,3,3,3,"2017-06-06","07:15:00",0,2,2,1346
"PCCow028",1,1,1,1,"2017-06-06","08:02:00",0,0,1,1164
"PCCow029",0,0,0,0,"2017-05-11","06:43:00",0,0,1,1057
"PCCow030",0,0,0,0,"2017-06-06","09:30:00",0,3,0,1097
"PCCow031",0,0,0,0,"2017-06-06","10:10:00",0,2,0,975
"PCCow032",0,0,0,0,"2017-05-11","07:44:00",0,0,1,929
"PCCow033",0,0,0,0,"2017-06-26","06:40:00",0,0,0,873
"PCCow034",0,0,0,1,"2017-06-07","07:05:00",0,0,2,1322
"PCCow035",0,0,0,0,"2017-05-10","08:48:00",0,0,4,1116
"PCCow036",0,0,0,0,"2017-05-10","09:17:00",0,1,1,990
"PCCow037",2,2,1,1,"2017-05-11","06:31:00",0,1,0,988
"PCCow038",0,0,0,0,"2017-06-07","09:40:00",0,1,1,938
"PCCow039",0,0,0,0,"2017-06-07","06:27:00",0,0,0,1285
"PCCow040",0,0,0,0,"2017-05-13","09:44:00",0,0,1,1078
"PCCow041",0,0,0,0,"2017-05-10","09:36:00",0,0,1,956
"PCCow042",0,0,0,0,"2017-06-07","09:49:00",0,0,1,944
"PCCow043",0,0,0,0,"2017-05-13","10:27:00",3,0,1,1061
"PCCow044",0,0,0,0,"2017-05-10","07:39:00",0,0,0,930
"PCCow045",0,0,0,0,"2017-06-12","08:48:00",0,0,2,911
"PCCow047",0,0,0,0,"2017-05-10","06:27:00",0,0,0,1053
"PCCow048",0,0,0,0,"2017-06-07","07:29:00",0,0,0,1032
"PCCow049",0,0,0,0,"2017-06-07","06:52:00",0,0,1,951
"PCDry001",0,0,0,0,"2017-06-04","06:47:00",0,0,0,1242
"PCDry002",0,0,0,0,"2017-06-04","09:17:00",0,0,1,1266
"PCDry003",0,0,0,0,"2017-05-09","07:22:00",0,3,2,1080
"PCDry004",0,0,0,0,"2017-05-09","07:43:00",0,2,1,1075
"PCDry005",0,0,0,0,"2017-06-04","08:47:00",1,0,0,1151
"PCDry006",1,1,1,1,"2017-06-18","08:57:00",0,1,1,1307
"PCDry007",0,0,0,0,"2017-06-04","07:02:00",0,0,1,1155
"PCDry008",1,0,1,1,"2017-06-04","08:44:00",1,0,2,1130
"PCDry009",0,0,0,0,"2017-06-27","07:31:00",0,0,1,1063
"PCDry010",0,0,0,0,"2017-06-03","09:12:00",0,0,1,938
"PCDry011",0,0,0,0,"2017-06-04","09:23:00",1,0,1,1065
"PCDry012",0,0,0,0,"2017-06-26","06:38:00",0,2,2,1206
"PCDry013",0,0,0,0,"2017-06-18","06:23:00",0,0,2,1130
"PCDry014",0,0,0,0,"2017-06-27","07:53:00",0,0,2,944
"PCDry015",0,0,0,0,"2017-06-03","06:38:00",0,0,3,868
"PCDry016",0,0,0,0,"2017-06-03","07:18:00",0,0,2,967
"PCDry017",0,0,0,0,"2017-06-26","07:14:00",0,1,1,1141
"PCDry018",0,0,0,0,"2017-06-26","08:12:00",0,1,0,1061
"PCDry019",0,0,0,0,"2017-06-26","09:08:00",0,2,1,905
"PCDry020",0,0,0,0,"2017-06-03","08:30:00",0,0,1,937
"PCDry021",0,0,0,0,"2017-06-03","07:50:00",0,0,1,990
"PCDry022",0,0,0,0,"2017-06-26","10:52:00",0,1,0,998
"PCDry023",0,0,0,0,"2017-06-26","09:50:00",0,1,1,1031
"PCWS001",1,0,1,1,"2017-05-29","09:30:00",0,0,1,1211
"PCWS002",0,0,0,0,"2017-05-29","08:15:00",0,1,0,1287
"PCWS003",1,1,1,1,"2017-05-29","07:39:00",0,0,1,1292
"PCWS004",0,0,0,0,"2017-05-29","06:57:00",0,3,2,1397
"PCWS005",0,0,0,0,"2017-05-29","06:31:00",0,2,0,1460
"PCWS006",1,1,1,1,"2017-05-29","09:44:00",0,0,0,1228
"PCWS007",1,2,2,2,"2017-05-29","09:06:00",0,0,2,1179
"PCWS008",0,0,0,0,"2017-05-29","08:37:00",0,0,1,1288
"PCWS009",1,0,0,0,"2017-05-29","07:55:00",0,0,1,1375
"PCWS010",0,0,0,0,"2017-05-29","07:21:00",0,1,1,1356
"PCWS011",1,2,2,2,"2017-05-29","06:52:00",0,1,1,1431
"PCWS012",0,0,0,0,"2017-06-23","09:57:00",0,3,3,1207
"PCWS013",1,1,1,1,"2017-05-12","10:00:00",0,0,1,1279
"PCWS014",1,2,2,2,"2017-05-12","09:19:00",0,0,2,1283
"PCWS015",0,0,0,0,"2017-05-12","08:35:00",0,0,0,1434
"PCWS016",1,1,1,1,"2017-05-12","07:59:00",0,0,1,1515
"PCWS017",2,2,2,0,"2017-05-12","07:18:00",0,0,1,1422
"PCWS018",1,2,3,2,"2017-05-12","06:50:00",0,1,0,1435
"PCWS019",1,0,0,0,"2017-06-12","10:25:00",0,0,2,1073
"PCWS020",0,0,0,0,"2017-06-12","09:39:00",0,0,0,1183
"PCWS021",0,0,0,0,"2017-06-12","08:46:00",0,0,1,1273
"PCWS022",0,0,0,0,"2017-06-12","07:53:00",0,0,1,1362
"PCWS023",0,0,0,0,"2017-06-12","07:22:00",0,1,1,1487
"PCWS024",0,0,0,0,"2017-06-12","06:45:00",0,0,0,1516
"PCWS025",0,0,0,0,"2017-06-12","06:15:00",0,1,1,1497
"PCWS026",0,0,0,0,"2017-05-22","09:51:00",0,0,1,1105
"PCWS027",0,0,0,0,"2017-05-22","09:18:00",0,0,3,1156
"PCWS028",0,0,0,0,"2017-05-22","08:37:00",0,0,2,1289
"PCWS029",0,0,0,0,"2017-05-22","08:12:00",0,0,2,1383
"PCWS030",1,1,0,0,"2017-05-22","07:33:00",0,0,0,1497
"PCWS031",0,0,0,0,"2017-05-22","06:57:00",0,0,1,1503
"PCWS032",0,0,0,0,"2017-05-22","10:24:00",0,0,0,1113
"PCWS033",2,0,2,3,"2017-05-22","09:40:00",0,0,0,1116
"PCWS034",0,0,0,0,"2017-05-22","09:00:00",0,0,0,1287
"PCWS035",1,1,0,0,"2017-05-22","08:27:00",0,0,2,1299
"PCWS036",2,2,2,2,"2017-05-22","07:55:00",0,0,1,1400
"PCWS037",0,0,0,0,"2017-05-22","07:02:00",0,0,0,1510
