,Route,Year,PointID,grouse1,grouse2,grouse3,elev,fc,doy.1,doy.2,doy.3
1,101,2020,101_1,0,0,0,587.6158779,46.5942029,85,106,132
2,101,2021,101_1,0,0,0,587.6158779,46.5942029,68,91,111
3,101,2020,101_10,0,0,0,603.2856917,38.97058824,85,106,132
4,101,2021,101_10,0,0,0,603.2856917,38.97058824,91,111,NA
5,101,2020,101_2,0,0,0,596.9965188,40.29411765,85,106,132
6,101,2021,101_2,0,0,0,596.9965188,40.29411765,68,91,111
7,101,2020,101_3,0,0,0,591.8350369,40.71942446,85,106,132
8,101,2021,101_3,0,0,0,591.8350369,40.71942446,68,91,111
9,101,2020,101_4,0,0,0,630.3955263,70.25179856,85,106,132
10,101,2021,101_4,0,0,0,630.3955263,70.25179856,68,91,111
11,101,2020,101_5,0,0,0,592.7421676,69.05797101,85,106,132
12,101,2021,101_5,0,0,0,592.7421676,69.05797101,91,111,NA
13,101,2020,101_6,0,0,0,566.1880233,47.13235294,85,106,132
14,101,2021,101_6,0,0,0,566.1880233,47.13235294,68,91,111
15,101,2020,101_7,0,0,0,593.5596576,62.26277372,85,106,132
16,101,2021,101_7,0,0,0,593.5596576,62.26277372,68,91,111
17,101,2020,101_8,0,0,0,619.6840025,60.11111111,85,106,132
18,101,2021,101_8,0,0,0,619.6840025,60.11111111,91,111,NA
19,101,2020,101_9,0,0,0,605.8615317,55.5,85,106,132
20,101,2021,101_9,0,0,0,605.8615317,55.5,68,91,111
21,102,2020,102_1,0,0,0,652.1897146,71.78832117,86,107,133
22,102,2021,102_1,0,0,0,652.1897146,71.78832117,69,92,110
23,102,2020,102_10,0,0,0,813.9891214,76.28676471,86,107,133
24,102,2021,102_10,0,1,0,813.9891214,76.28676471,69,92,110
25,102,2020,102_11,0,0,0,854.4366085,71.09489051,86,107,133
26,102,2021,102_11,0,0,0,854.4366085,71.09489051,69,92,110
27,102,2020,102_2,0,0,0,603.9023747,56.88405797,86,107,133
28,102,2021,102_2,0,0,0,603.9023747,56.88405797,69,92,110
29,102,2020,102_3,0,0,0,601.9785089,28.19852941,86,107,133
30,102,2021,102_3,0,0,0,601.9785089,28.19852941,69,92,110
31,102,2020,102_4,0,0,0,630.934785,46.53284672,86,107,133
32,102,2021,102_4,0,0,0,630.934785,46.53284672,69,92,110
33,102,2020,102_5,0,0,0,651.3254047,67.29927007,86,107,133
34,102,2021,102_5,0,0,0,651.3254047,67.29927007,69,92,110
35,102,2020,102_6,0,0,0,671.032998,27.75735294,86,107,133
36,102,2021,102_6,0,0,0,671.032998,27.75735294,92,110,138
37,102,2020,102_7,0,0,0,714.5610035,70.18248175,86,107,133
38,102,2021,102_7,0,0,0,714.5610035,70.18248175,92,110,138
39,102,2020,102_8,0,0,0,752.24013,68.47826087,86,107,133
40,102,2021,102_8,0,0,0,752.24013,68.47826087,69,79,92
41,102,2020,102_9,0,0,0,792.1126808,74.375,86,107,133
42,102,2021,102_9,0,0,0,792.1126808,74.375,69,92,110
43,11,2020,11_1,0,0,0,556.018468,75.94202899,67,93,117
44,11,2021,11_1,0,0,0,556.018468,75.94202899,62,88,128
45,11,2020,11_10,0,0,0,530.5725377,77.46428571,67,93,117
46,11,2021,11_10,0,0,0,530.5725377,77.46428571,62,88,128
47,11,2020,11_11,0,0,0,540.3179816,73.83211679,67,93,117
48,11,2021,11_11,0,0,0,540.3179816,73.83211679,62,88,128
49,11,2020,11_2,0,0,0,568.4088078,83.5971223,67,93,117
50,11,2021,11_2,0,0,0,568.4088078,83.5971223,62,88,128
51,11,2020,11_3,0,0,1,535.039304,61.24087591,67,93,117
52,11,2021,11_3,0,0,0,535.039304,61.24087591,62,88,128
53,11,2020,11_4,0,0,0,560.0550166,72.57246377,67,93,117
54,11,2021,11_4,0,0,0,560.0550166,72.57246377,62,88,128
55,11,2020,11_5,0,0,1,564.2967857,49.22794118,67,93,117
56,11,2021,11_5,0,0,0,564.2967857,49.22794118,62,88,128
57,11,2020,11_6,0,0,0,591.0985477,54.37956204,67,93,117
58,11,2021,11_6,0,0,0,591.0985477,54.37956204,62,88,128
59,11,2020,11_7,0,0,0,618.6009744,73.39416058,67,93,117
60,11,2021,11_7,0,0,0,618.6009744,73.39416058,62,88,128
61,11,2020,11_8,0,0,0,536.63124,68.53571429,67,93,117
62,11,2021,11_8,0,0,0,536.63124,68.53571429,62,88,128
63,11,2020,11_9,0,0,0,507.5278867,53.00724638,67,93,117
64,11,2021,11_9,0,0,0,507.5278867,53.00724638,62,88,128
65,112,2020,112_1,0,0,0,487.4769895,58.64963504,80,113,142
66,112,2021,112_1,0,0,0,487.4769895,58.64963504,73,93,127
67,112,2020,112_10,0,0,0,531.5200821,68.84057971,80,113,142
68,112,2021,112_10,0,0,0,531.5200821,68.84057971,73,93,127
69,112,2020,112_2,0,0,0,500.3046258,73.59259259,80,113,142
70,112,2021,112_2,0,0,0,500.3046258,73.59259259,73,93,127
71,112,2020,112_3,0,0,0,496.5958835,44.77941176,80,113,142
72,112,2021,112_3,0,0,0,496.5958835,44.77941176,73,93,127
73,112,2020,112_4,0,0,0,505.5421318,65.36764706,80,113,142
74,112,2021,112_4,0,0,0,505.5421318,65.36764706,73,93,127
75,112,2020,112_5,0,0,0,478.044957,63.80434783,80,113,142
76,112,2021,112_5,0,0,0,478.044957,63.80434783,73,93,127
77,112,2020,112_6,0,0,0,470.7190803,59.26470588,80,113,142
78,112,2021,112_6,0,0,0,470.7190803,59.26470588,73,93,127
79,112,2020,112_7,0,0,0,485.2547337,61.35714286,80,113,142
80,112,2021,112_7,0,0,0,485.2547337,61.35714286,73,93,127
81,112,2020,112_8,0,0,0,491.9587042,70.54347826,80,113,142
82,112,2021,112_8,0,0,0,491.9587042,70.54347826,73,93,127
83,112,2020,112_9,0,0,0,524.1350569,73.67647059,80,113,142
84,112,2021,112_9,0,0,0,524.1350569,73.67647059,73,93,127
85,116,2020,116_1,0,0,0,817.5668489,85,78,113,140
86,116,2021,116_1,0,0,0,817.5668489,85,99,118,121
87,116,2020,116_10,0,0,0,955.6897368,85,78,113,140
88,116,2021,116_10,1,0,1,955.6897368,85,99,118,121
89,116,2020,116_11,0,0,0,1029.456972,84.92753623,78,113,140
90,116,2021,116_11,0,0,0,1029.456972,84.92753623,99,118,121
91,116,2020,116_12,0,0,0,1083.749236,79.5,78,113,140
92,116,2021,116_12,0,0,0,1083.749236,79.5,99,118,121
93,116,2020,116_13,0,0,0,1096.195927,77.17391304,78,113,140
94,116,2021,116_13,0,0,0,1096.195927,77.17391304,99,118,121
95,116,2020,116_2,0,0,0,829.7545781,84.56521739,78,113,140
96,116,2021,116_2,0,0,0,829.7545781,84.56521739,99,118,121
97,116,2020,116_3,0,0,0,808.4279577,85,78,113,140
98,116,2021,116_3,0,0,0,808.4279577,85,99,118,121
99,116,2020,116_4,0,0,0,768.2581493,85,78,113,140
100,116,2021,116_4,0,0,0,768.2581493,85,99,118,121
101,116,2020,116_5,0,0,0,710.2486777,84.8540146,78,113,140
102,116,2021,116_5,0,0,0,710.2486777,84.8540146,99,118,121
103,116,2020,116_6,0,0,0,656.9073368,84.64028777,78,113,140
104,116,2021,116_6,0,0,0,656.9073368,84.64028777,99,118,121
105,116,2020,116_7,0,0,0,775.4444953,84.85611511,78,113,140
106,116,2021,116_7,0,0,0,775.4444953,84.85611511,99,118,121
107,116,2020,116_8,0,0,0,808.1133228,84.7826087,78,113,140
108,116,2021,116_8,0,0,0,808.1133228,84.7826087,99,118,121
